date,signal_strategy,equal_weight
2022-01-18,1516644.0957864912,1270538.081170516
2022-01-19,1504225.2112346264,1255932.1657057751
2022-01-20,1487094.8717236076,1238149.3573499317
2022-01-21,1460270.816829987,1211710.4873136177
2022-01-24,1461670.892152048,1211102.3695296887
2022-01-25,1436848.733955236,1187322.8045137962
2022-01-26,1440624.6663623354,1191428.6725000343
2022-01-27,1425999.3545213921,1167288.108236299
2022-01-28,1455767.0839415083,1193111.133399634
2022-01-31,1480442.2781491033,1231215.9755425672
2022-02-01,1493716.4966644666,1238527.8533353072
2022-02-02,1523121.101140609,1254617.3449382065
2022-02-03,1440692.6681995334,1201259.4181235812
2022-02-04,1471032.641602644,1220369.0987491393
2022-02-07,1456897.9244392496,1211828.9352745493
2022-02-08,1476964.6475002442,1222713.3415765923
2022-02-09,1509370.9333625655,1246327.5792007293
2022-02-10,1472173.334170285,1220076.0134644974
2022-02-11,1413876.1522327876,1182997.4244041177
2022-02-14,1415516.2775593563,1185938.4577204033
2022-02-15,1443207.4642984357,1214239.3554710986
2022-02-16,1443464.1869199232,1212150.1250696203
2022-02-17,1409341.7747946342,1179623.0295307883
2022-02-18,1393464.528670709,1166197.0224110137
2022-02-22,1377396.922039901,1155525.730306431
2022-02-23,1347838.1515144343,1128872.0040543457
2022-02-24,1390585.462039855,1163592.2085269717
2022-02-25,1412771.5353026432,1180762.2950490408
2022-02-28,1418645.3546197682,1189305.0885899374
2022-03-01,1385528.2392619587,1168032.0426768942
2022-03-02,1405712.356801141,1186616.3108338874
2022-03-03,1384780.0883211552,1166814.5550481766
2022-03-04,1370221.598650092,1151684.5054040502
2022-03-07,1329359.67925103,1113190.3377763429
2022-03-08,1328085.6080218952,1115238.426458859
2022-03-09,1365926.3276033737,1150271.2468049775
2022-03-10,1358089.651815821,1138849.858270865
2022-03-11,1337469.1743422025,1117878.9540973797
2022-03-14,1317010.9406080865,1098208.048386241
2022-03-15,1342947.6148716132,1129950.9405065398
2022-03-16,1399998.9570345941,1167853.6148546124
2022-03-17,1414066.916644831,1177703.082664144
2022-03-18,1453134.4162333128,1201205.7335024117
2022-03-21,1459592.2338296801,1200977.6879008766
2022-03-22,1488494.6587643018,1219647.9827211273
2022-03-23,1479476.296813095,1210158.851392638
2022-03-24,1522470.047131194,1240455.932488169
2022-03-25,1521193.659473034,1239175.5786334954
2022-03-28,1553148.504086471,1254543.0372375518
2022-03-29,1569624.7044966489,1271484.1881556374
2022-03-30,1557366.48117387,1258826.8222291195
2022-03-31,1533040.3776773214,1234105.8812056836
2022-04-01,1533377.565621782,1231943.267893978
2022-04-04,1565722.791629311,1256243.572071384
2022-04-05,1531879.7565163686,1230193.5855737189
2022-04-06,1500420.2259215813,1201481.5805568057
2022-04-07,1500737.711699725,1201866.882240039
2022-04-08,1484183.9388086319,1185073.334008051
2022-04-11,1453688.8970659967,1157015.0597609435
2022-04-12,1448301.5244458823,1152653.8154228516
2022-04-13,1469990.194397369,1171592.6125539818
2022-04-14,1440735.576417608,1145064.8901112275
2022-04-18,1447356.72863123,1151469.2196727467
2022-04-19,1469467.865787427,1170956.283721191
2022-04-20,1450720.9590011318,1153642.539735966
2022-04-21,1431083.9551643268,1131182.4946035137
2022-04-22,1405619.8530980507,1109104.7713471877
2022-04-25,1418849.6805485166,1121617.3389758843
2022-04-26,1369749.4861373173,1080176.011026096
2022-04-27,1366294.897898362,1075862.723810927
2022-04-28,1419487.3811094353,1116584.2440562341
2022-04-29,1372884.362928037,1073509.0152088553
2022-05-02,1398793.1181999522,1094166.503319947
2022-05-03,1403368.104664784,1098207.8653321655
2022-05-04,1446351.2478107742,1133846.5656500391
2022-05-05,1387488.0664248823,1082289.8584658764
2022-05-06,1379670.4517385813,1075456.2878450921
2022-05-09,1331617.389173501,1032656.2790853824
2022-05-10,1347449.335020343,1046027.4141107639
2022-05-11,1316393.6081097198,1018573.143663687
2022-05-12,1311987.871561224,1013588.5381279918
2022-05-13,1360117.0859096122,1049110.0532069993
2022-05-16,1350018.3752128033,1038425.964434629
2022-05-17,1387880.7408129277,1065869.1460609215
2022-05-18,1328336.772274594,1021734.1945620398
2022-05-19,1326399.1545445991,1019704.0168695238
