Date,INTC
2014-01-22,-0.011002213344270513
2014-01-23,-0.007137138197830442
2014-01-24,-0.012815434511085706
2014-01-27,-0.003634069388059067
2014-01-28,0.007255186131996424
2014-01-29,-0.008874773215709248
2014-01-30,0.002428138858738328
2014-01-31,-0.008116760556303509
2014-02-03,-0.024336120182549038
2014-02-04,-0.0054427117341508255
2014-02-05,-0.0031839774492777493
2014-02-06,0.01978629507903226
2014-02-07,0.009128449616095527
2014-02-10,0.0032988176990231062
2014-02-11,0.007383128242593899
2014-02-12,0.0032642385279256
2014-02-13,0.006091091291447886
2014-02-14,0.0024265784787767955
2014-02-18,0.0
2014-02-19,-0.010556582810794333
2014-02-20,0.009748103548398779
2014-02-21,-0.01301859911946882
2014-02-24,0.00856271709186466
2014-02-25,-0.00040629160327654306
